time,gFx,gFy,gFz,TgF
349.670198576,-0.1680,1.0000,0.2492,1.034
350.670631845,-0.2376,0.9622,0.1386,0.992
351.670866505,-0.2861,1.0053,0.3874,1.104
352.670945282,-0.0124,0.8919,0.4785,0.999
353.67111142,0.0528,0.7800,0.3043,0.826
354.671391612,-0.0754,1.0098,0.5596,1.144
355.671856619,0.0001,0.9301,0.5800,1.083
356.671843558,-0.0817,0.9026,0.4446,0.997
357.671999524,-0.0711,0.7561,0.4540,0.872
358.672405612,0.0267,0.8899,0.5247,1.020
359.672559461,-0.1816,0.9140,0.4628,1.029
360.672842258,-0.0699,1.0415,0.7704,1.284
361.681727065,0.0159,0.8860,0.4839,0.996
362.673184463,-0.0355,0.8332,0.4552,0.937
363.67330515,-0.0433,0.8097,0.4310,0.905
364.67362648,0.0900,0.8391,0.5191,0.977
365.673827042,-0.0951,0.8198,0.5656,0.988
366.674114966,0.1400,0.8064,0.5894,0.994
367.67466172,0.1241,0.9228,0.6323,1.111
368.674775449,0.0391,0.7133,0.6206,0.932
369.674724953,0.0540,0.7424,0.5390,0.905
370.674951475,-0.0350,0.8769,0.5689,1.033
371.675161559,0.0150,0.8079,0.5498,0.964
372.676586242,-0.0799,0.7598,0.5918,0.953
373.677019673,0.0160,0.8177,0.5443,0.969
374.677621399,-0.0415,0.7847,0.4039,0.871
375.677925924,-0.0018,0.8273,0.4591,0.933
376.678312399,0.0059,0.8603,0.5815,1.025
377.678644675,0.0065,0.7974,0.6273,1.001
378.678896466,-0.0850,0.8939,0.4909,1.011
379.679289859,-0.0607,0.9045,0.4445,0.997
380.679490298,-0.0988,0.8562,0.4533,0.961
381.679579858,-0.0618,0.9099,0.4332,0.997
382.679764062,-0.1930,0.9614,0.2574,1.003
383.680065332,-0.0344,0.9469,0.4339,1.030
384.680252223,-0.0974,0.8344,0.2956,0.879
385.68050617,-0.0800,0.9815,0.3583,1.036
386.684564276,-0.0899,1.0193,0.4520,1.106
387.683637071,-0.1206,0.8761,0.3577,0.942
388.681424669,-0.0579,0.9762,0.4260,1.054
