n, dy(mm), F(kN)
450,     0.160920,     1.963080
451,     0.160750,     1.978520
452,     0.161944,     2.007380
453,     0.162796,     2.038250
454,     0.163478,     2.056370
455,     0.164160,     2.079860
456,     0.164330,     2.100000
457,     0.164841,     2.124160
458,     0.165012,     2.156370
459,     0.165523,     2.171810
460,     0.166376,     2.193950
461,     0.167229,     2.223480
462,     0.167569,     2.242950
463,     0.168421,     2.263080
464,     0.168933,     2.285230
465,     0.169445,     2.305360
466,     0.170127,     2.327510
467,     0.170979,     2.350330
468,     0.171319,     2.370460
469,     0.171661,     2.398650
470,     0.172853,     2.417440
471,     0.173195,     2.437580
472,     0.173706,     2.461740
473,     0.174387,     2.476510
474,     0.175240,     2.496640
475,     0.176433,     2.519460
476,     0.177456,     2.530200
477,     0.178479,     2.546300
478,     0.180014,     2.561070
479,     0.182230,     2.569120
480,     0.184786,     2.574490
481,     0.188366,     2.573150
482,     0.191947,     2.567780
483,     0.196207,     2.558380
484,     0.198594,     2.555700
485,     0.201492,     2.554360
486,     0.205412,     2.553020
487,     0.209504,     2.550330
488,     0.213425,     2.543620
489,     0.217005,     2.540930
490,     0.220243,     2.538250
491,     0.223824,     2.535570
492,     0.227062,     2.530200
493,     0.230642,     2.528850
494,     0.235074,     2.528850
495,     0.237973,     2.523480
496,     0.241381,     2.516770
497,     0.246496,     2.514090
498,     0.248370,     2.512750
499,     0.252120,     2.510060
500,     0.257235,     2.506040
501,     0.259792,     2.504690
502,     0.263713,     2.500670
503,     0.268145,     2.492610
504,     0.270361,     2.489930
505,     0.273940,     2.488590
506,     0.277520,     2.488590
507,     0.280930,     2.481870
508,     0.284681,     2.477850
509,     0.287919,     2.473820
510,     0.291669,     2.472480
511,     0.296442,     2.468450
512,     0.299682,     2.465770
513,     0.303602,     2.461740
514,     0.305477,     2.460400
515,     0.311273,     2.453690
516,     0.314683,     2.449660
517,     0.318944,     2.445630
518,     0.320820,     2.442950
519,     0.324570,     2.440260
520,     0.327979,     2.436240
521,     0.332071,     2.436240
522,     0.335139,     2.430870
523,     0.339741,     2.424160
524,     0.343492,     2.420130
525,     0.347753,     2.417440
526,     0.351163,     2.417440
527,     0.355083,     2.409390
528,     0.359175,     2.405360
529,     0.362073,     2.404020
530,     0.365482,     2.398650
531,     0.369062,     2.393280
532,     0.372471,     2.391940
533,     0.377927,     2.387910
534,     0.380823,     2.385230
535,     0.384574,     2.378520
536,     0.388154,     2.374490
537,     0.391222,     2.371810
538,     0.394802,     2.369120
539,     0.398553,     2.365100
540,     0.401621,     2.361070
541,     0.406223,     2.357040
542,     0.410144,     2.351670
543,     0.415088,     2.344960
544,     0.417304,     2.342280
545,     0.420884,     2.339590
546,     0.425145,     2.335570
547,     0.429237,     2.331540
548,     0.433498,     2.324830
549,     0.436738,     2.322140
550,     0.440488,     2.316770
551,     0.444238,     2.312750
552,     0.447647,     2.310060
553,     0.452079,     2.307380
554,     0.455148,     2.300670
555,     0.460432,     2.295300
556,     0.462990,     2.292610
557,     0.466228,     2.287240
558,     0.470149,     2.283220
559,     0.473899,     2.277850
560,     0.477479,     2.275160
561,     0.481230,     2.272480
562,     0.486172,     2.264420
563,     0.488730,     2.260400
564,     0.492310,     2.257710
565,     0.496401,     2.255030
566,     0.500492,     2.246970
567,     0.504072,     2.242950
568,     0.508334,     2.238920
569,     0.511914,     2.233550
570,     0.515835,     2.226840
571,     0.519073,     2.221470
572,     0.522483,     2.218790
573,     0.526744,     2.217440
574,     0.531006,     2.210730
575,     0.534586,     2.204020
576,     0.538507,     2.200000
577,     0.542427,     2.195300
578,     0.546007,     2.189930
579,     0.549587,     2.184560
580,     0.554020,     2.179860
581,     0.557088,     2.176510
582,     0.562372,     2.170460
583,     0.565099,     2.164420
584,     0.569020,     2.160400
585,     0.572770,     2.155700
586,     0.577202,     2.151000
587,     0.580612,     2.144960
588,     0.585555,     2.139590
589,     0.588625,     2.134890
590,     0.592715,     2.126840
591,     0.595784,     2.122810
592,     0.600046,     2.118120
593,     0.602602,     2.114760
594,     0.607205,     2.108720
595,     0.611297,     2.103350
596,     0.614705,     2.098650
597,     0.620842,     2.091270
598,     0.622548,     2.086570
599,     0.626638,     2.081870
600,     0.630389,     2.076510
601,     0.634479,     2.071140
602,     0.639594,     2.063080
603,     0.642322,     2.058380
604,     0.646412,     2.053690
605,     0.650504,     2.048320
606,     0.654254,     2.040260
607,     0.659709,     2.032210
608,     0.662777,     2.030870
609,     0.667210,     2.024830
610,     0.670960,     2.016100
611,     0.674710,     2.009390
612,     0.678801,     2.005360
613,     0.682211,     2.000670
614,     0.685961,     1.993280
615,     0.690394,     1.987910
616,     0.694484,     1.979860
617,     0.698576,     1.972480
618,     0.701985,     1.966440
619,     0.706417,     1.961070
620,     0.710849,     1.954360
621,     0.714940,     1.946300
622,     0.716986,     1.941610
623,     0.722782,     1.932880
624,     0.727215,     1.927510
625,     0.731305,     1.919460
626,     0.735056,     1.911400
627,     0.739146,     1.905360
628,     0.745284,     1.893950
629,     0.748353,     1.883890
630,     0.751421,     1.874490
631,     5.531672,     0.013420
632,     3.857682,     0.012080
633,     4.200322,     0.011400
634,     4.403177,     0.010730
635,     4.447499,     0.010730
636,     4.490117,     0.010460
637,     4.505458,     0.010460
638,     4.503754,     0.010460
639,     4.531028,     0.010200
640,     4.536142,     0.010200
641,     4.534438,     0.010330
642,     4.539551,     0.010330
643,     4.553190,     0.010200
644,     4.553190,     0.010200
645,     4.558302,     0.010200
646,     4.570236,     0.010200
647,     4.575350,     0.010200
648,     4.573646,     0.010060
649,     4.582169,     0.010060
650,     4.599216,     0.010060
651,     4.648651,     0.010060
