n, dy(mm), F(kN)
416,     0.489071,     1.734220
417,     0.490435,     1.736240
418,     0.492991,     1.738250
419,     0.494355,     1.738920
420,     0.496401,     1.740260
421,     0.497253,     1.740930
422,     0.499129,     1.743620
423,     0.501345,     1.745630
424,     0.503560,     1.746300
425,     0.504754,     1.747650
426,     0.507140,     1.750330
427,     0.509186,     1.751000
428,     0.511232,     1.751670
429,     0.512936,     1.753020
430,     0.513789,     1.755700
431,     0.516687,     1.757040
432,     0.518391,     1.757710
433,     0.520267,     1.759730
434,     0.522141,     1.761070
435,     0.523846,     1.763080
436,     0.525210,     1.763750
437,     0.527085,     1.765100
438,     0.529130,     1.769120
439,     0.531858,     1.767780
440,     0.533392,     1.768450
441,     0.534586,     1.769790
442,     0.536802,     1.771810
443,     0.539189,     1.773820
444,     0.541235,     1.774490
445,     0.543449,     1.775160
446,     0.544813,     1.777850
447,     0.546859,     1.779190
448,     0.548564,     1.779190
449,     0.550780,     1.781200
450,     0.552656,     1.784560
451,     0.554020,     1.783890
452,     0.555894,     1.783890
453,     0.558110,     1.786570
454,     0.559985,     1.787240
455,     0.561861,     1.787910
456,     0.564077,     1.789930
457,     0.565951,     1.791940
458,     0.568679,     1.793280
459,     0.570384,     1.793280
460,     0.572941,     1.793950
461,     0.573964,     1.795970
462,     0.576350,     1.797310
463,     0.577884,     1.798650
464,     0.580100,     1.800670
465,     0.581976,     1.801340
466,     0.584021,     1.801340
467,     0.585385,     1.802010
468,     0.587943,     1.803350
469,     0.589987,     1.805360
470,     0.592203,     1.806710
471,     0.593909,     1.807380
472,     0.596806,     1.808050
473,     0.598340,     1.809390
474,     0.601238,     1.811400
475,     0.602772,     1.812080
476,     0.605159,     1.812080
477,     0.606523,     1.814090
478,     0.609591,     1.816100
479,     0.611297,     1.815430
480,     0.613341,     1.815430
481,     0.614705,     1.817440
482,     0.617433,     1.820130
483,     0.619478,     1.820130
484,     0.622206,     1.820130
485,     0.623910,     1.822140
486,     0.626298,     1.824160
487,     0.628343,     1.823480
488,     0.631071,     1.822810
489,     0.632775,     1.824830
490,     0.634821,     1.827510
491,     0.636185,     1.829530
492,     0.639253,     1.828180
493,     0.641298,     1.829530
494,     0.643685,     1.830200
495,     0.645390,     1.831540
496,     0.647436,     1.831540
497,     0.649822,     1.832880
498,     0.651868,     1.834220
499,     0.654595,     1.834890
500,     0.656981,     1.835570
501,     0.659027,     1.836910
502,     0.661413,     1.837580
503,     0.664141,     1.838250
504,     0.665505,     1.840260
505,     0.668914,     1.840260
506,     0.670618,     1.840930
507,     0.673688,     1.840930
508,     0.675392,     1.840930
509,     0.677779,     1.842950
510,     0.679825,     1.844960
511,     0.682551,     1.844290
512,     0.684597,     1.844960
513,     0.687666,     1.845630
514,     0.689370,     1.845630
515,     0.692438,     1.847650
516,     0.694144,     1.848320
517,     0.697212,     1.848990
518,     0.699598,     1.851000
519,     0.702667,     1.850330
520,     0.704371,     1.849660
521,     0.707439,     1.850330
522,     0.709145,     1.852340
523,     0.712213,     1.853690
524,     0.714258,     1.853690
525,     0.716986,     1.853690
526,     0.719032,     1.853690
527,     0.722100,     1.853690
528,     0.724146,     1.854360
529,     0.726873,     1.856370
530,     0.728919,     1.857040
531,     0.731647,     1.857040
532,     0.735056,     1.856370
533,     0.737784,     1.857040
534,     0.739828,     1.858380
535,     0.742897,     1.857710
536,     0.744602,     1.858380
537,     0.747671,     1.859730
538,     0.749717,     1.860400
539,     0.752785,     1.860400
540,     0.755171,     1.860400
541,     0.758580,     1.861070
542,     0.761308,     1.860400
543,     0.764036,     1.860400
544,     0.766762,     1.861070
545,     0.770172,     1.861740
546,     0.773241,     1.863080
547,     0.776309,     1.861070
548,     0.778695,     1.861070
549,     0.781082,     1.861070
550,     0.784150,     1.862410
551,     0.786536,     1.863080
552,     0.789606,     1.862410
553,     0.791992,     1.862410
554,     0.795401,     1.862410
555,     0.798129,     1.861740
556,     0.801538,     1.862410
557,     0.803925,     1.862410
558,     0.807675,     1.862410
559,     0.810402,     1.861070
560,     0.814152,     1.861070
561,     0.816539,     1.861740
562,     0.820289,     1.861070
563,     0.823017,     1.860400
564,     0.826426,     1.859730
565,     0.829154,     1.859060
566,     0.832222,     1.858380
567,     0.835290,     1.857710
568,     0.837677,     1.857710
569,     0.841087,     1.858380
570,     0.844837,     1.859060
571,     0.847223,     1.857040
572,     0.851314,     1.854360
573,     0.855064,     1.855030
574,     0.858134,     1.853690
575,     0.861884,     1.852340
576,     0.864271,     1.852340
577,     0.868021,     1.853690
578,     0.871089,     1.851000
579,     0.874498,     1.848990
580,     0.877226,     1.848320
581,     0.881316,     1.849660
582,     0.883704,     1.847650
583,     0.887795,     1.846300
584,     0.890863,     1.844290
585,     0.894954,     1.842950
586,     0.898023,     1.841610
587,     0.902114,     1.840930
588,     0.904842,     1.839590
589,     0.907228,     1.840260
590,     0.912001,     1.837580
591,     0.915411,     1.836240
592,     0.918479,     1.835570
593,     0.921548,     1.835570
594,     0.925980,     1.832210
595,     0.929389,     1.828180
596,     0.931775,     1.828180
597,     0.934503,     1.830870
598,     0.938935,     1.827510
599,     0.942344,     1.824830
600,     0.945754,     1.822810
601,     0.949844,     1.822810
602,     0.953254,     1.820130
603,     0.955641,     1.818790
604,     0.960413,     1.818120
605,     0.964846,     1.816770
606,     0.967914,     1.813420
607,     0.970982,     1.812080
608,     0.974052,     1.811400
609,     0.978142,     1.809390
610,     0.981211,     1.807380
611,     0.984279,     1.804690
612,     0.987007,     1.804690
613,     0.991439,     1.804690
614,     0.995530,     1.800670
615,     0.998940,     1.797310
616,     1.000644,     1.795970
617,     1.006099,     1.796640
618,     1.009167,     1.794630
619,     1.013259,     1.791270
620,     1.014964,     1.790600
621,     1.020418,     1.788590
622,     1.023146,     1.785230
623,     1.026896,     1.783890
624,     1.029965,     1.784560
625,     1.034055,     1.781870
626,     1.037465,     1.777180
627,     1.040874,     1.775160
628,     1.044284,     1.774490
629,     1.048375,     1.774490
630,     1.052125,     1.770460
631,     1.055875,     1.767780
632,     1.058944,     1.767110
633,     1.063376,     1.765100
634,     1.065422,     1.762410
635,     1.069854,     1.761070
636,     1.073263,     1.759060
637,     1.076673,     1.757040
638,     1.079741,     1.753690
639,     1.083150,     1.753020
640,     1.086220,     1.751670
641,     1.089970,     1.748990
642,     1.094061,     1.745630
643,     1.097470,     1.744960
644,     1.101219,     1.742950
645,     1.104970,     1.740930
646,     1.109402,     1.736910
647,     1.112812,     1.734890
648,     1.116562,     1.734220
649,     1.119971,     1.731540
650,     1.123381,     1.728180
651,     1.126449,     1.726170
652,     1.129859,     1.725500
